GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WepaHarjoitus,laajaosk.wepa,ProductionConfiguration,6,0,0,0,2,0,2,0,2,0
WepaHarjoitus,laajaosk.wepa,WepaHarjoitusApplication,5,3,0,0,2,1,1,1,1,1
WepaHarjoitus,laajaosk.wepa.validator,CategoryValidator,0,58,0,10,0,14,0,7,0,2
WepaHarjoitus,laajaosk.wepa.validator,NewsValidator,18,172,7,23,5,44,7,17,0,9
WepaHarjoitus,laajaosk.wepa.controller,ModeratorController,183,3,6,0,31,1,9,1,6,1
WepaHarjoitus,laajaosk.wepa.controller,CategoryController,68,3,2,0,11,1,3,1,2,1
WepaHarjoitus,laajaosk.wepa.controller,LoginController,50,10,2,0,10,3,3,2,2,2
WepaHarjoitus,laajaosk.wepa.controller,NewsController,66,10,2,0,13,3,3,2,2,2
WepaHarjoitus,laajaosk.wepa.controller,FileObjectController,10,3,0,0,1,1,1,1,1,1
WepaHarjoitus,laajaosk.wepa.controller,RegistrationController,79,3,2,0,17,1,3,1,2,1
WepaHarjoitus,laajaosk.wepa.service,NewsService,21,262,4,8,4,46,4,10,0,8
WepaHarjoitus,laajaosk.wepa.service,CategoryService,21,76,4,4,4,21,3,5,0,4
WepaHarjoitus,laajaosk.wepa.service,LoginService,49,10,6,0,12,3,5,2,2,2
WepaHarjoitus,laajaosk.wepa.service,ModeratorService,38,371,6,14,8,80,7,18,1,14
WepaHarjoitus,laajaosk.wepa.domain,Category,113,22,21,1,1,4,15,6,4,6
WepaHarjoitus,laajaosk.wepa.domain,FileObject,236,23,40,0,6,2,30,6,10,6
WepaHarjoitus,laajaosk.wepa.domain,Writer,168,23,30,0,3,4,22,5,7,5
WepaHarjoitus,laajaosk.wepa.domain,View,123,22,22,0,2,3,19,2,8,2
WepaHarjoitus,laajaosk.wepa.domain,News,349,103,58,6,2,12,39,15,8,14
